2023-09-27 20:36:24 CST, 172.16.1.101:44252, ltptest, OpMetaDeleteDentry, dir.mdtest.0.297, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/mdtest_tree.7/mdtest_tree.29/dir.mdtest.0.297, nil, 0 us, 0, 8391059
2023-09-27 20:36:24 CST, 172.16.1.101:44286, ltptest, OpMetaDeleteDentry, dir.mdtest.0.298, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/mdtest_tree.7/mdtest_tree.29/dir.mdtest.0.298, nil, 0 us, 0, 8391059
2023-09-27 20:36:24 CST, 172.16.1.101:44274, ltptest, OpMetaDeleteDentry, dir.mdtest.0.299, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/mdtest_tree.7/mdtest_tree.29/dir.mdtest.0.299, nil, 0 us, 0, 8391059
2023-09-27 20:36:24 CST, 172.16.1.101:44252, ltptest, OpMetaDeleteDentry, dir.mdtest.0.300, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/mdtest_tree.7/mdtest_tree.30/dir.mdtest.0.300, nil, 0 us, 0, 8391060
2023-09-27 20:36:24 CST, 172.16.1.101:44274, ltptest, OpMetaDeleteDentry, dir.mdtest.0.301, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/mdtest_tree.7/mdtest_tree.30/dir.mdtest.0.301, nil, 0 us, 0, 8391060
2023-09-27 20:36:24 CST, 172.16.1.101:44252, ltptest, OpMetaDeleteDentry, dir.mdtest.0.302, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/mdtest_tree.7/mdtest_tree.30/dir.mdtest.0.302, nil, 0 us, 0, 8391060
2023-09-27 20:36:24 CST, 172.16.1.101:44286, ltptest, OpMetaDeleteDentry, dir.mdtest.0.303, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/mdtest_tree.7/mdtest_tree.30/dir.mdtest.0.303, nil, 0 us, 0, 8391060
2023-09-27 20:36:24 CST, 172.16.1.101:44268, ltptest, OpMetaDeleteDentry, dir.mdtest.0.304, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/mdtest_tree.7/mdtest_tree.30/dir.mdtest.0.304, nil, 0 us, 0, 8391060
2023-09-27 20:36:24 CST, 172.16.1.101:44252, ltptest, OpMetaDeleteDentry, dir.mdtest.0.305, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/mdtest_tree.7/mdtest_tree.30/dir.mdtest.0.305, nil, 0 us, 0, 8391060
2023-09-27 20:36:24 CST, 172.16.1.101:44286, ltptest, OpMetaDeleteDentry, dir.mdtest.0.306, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/mdtest_tree.7/mdtest_tree.30/dir.mdtest.0.306, nil, 0 us, 0, 8391060
2023-09-27 20:36:24 CST, 172.16.1.101:44268, ltptest, OpMetaDeleteDentry, dir.mdtest.0.307, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/mdtest_tree.7/mdtest_tree.30/dir.mdtest.0.307, nil, 0 us, 0, 8391060
2023-09-27 20:36:24 CST, 172.16.1.101:44250, ltptest, OpMetaDeleteDentry, dir.mdtest.0.308, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/mdtest_tree.7/mdtest_tree.30/dir.mdtest.0.308, nil, 0 us, 0, 8391060
2023-09-27 20:36:24 CST, 172.16.1.101:44268, ltptest, OpMetaDeleteDentry, dir.mdtest.0.309, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/mdtest_tree.7/mdtest_tree.30/dir.mdtest.0.309, nil, 0 us, 0, 8391060
2023-09-27 20:36:24 CST, 172.16.1.101:44268, ltptest, OpMetaDeleteDentry, dir.mdtest.0.320, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/mdtest_tree.7/mdtest_tree.32/dir.mdtest.0.320, nil, 0 us, 0, 8391061
2023-09-27 20:36:24 CST, 172.16.1.101:44286, ltptest, OpMetaDeleteDentry, dir.mdtest.0.321, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/mdtest_tree.7/mdtest_tree.32/dir.mdtest.0.321, nil, 0 us, 0, 8391061
2023-09-27 20:36:24 CST, 172.16.1.101:44268, ltptest, OpMetaDeleteDentry, dir.mdtest.0.322, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/mdtest_tree.7/mdtest_tree.32/dir.mdtest.0.322, nil, 0 us, 0, 8391061
2023-09-27 20:36:24 CST, 172.16.1.101:44250, ltptest, OpMetaDeleteDentry, dir.mdtest.0.323, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/mdtest_tree.7/mdtest_tree.32/dir.mdtest.0.323, nil, 0 us, 0, 8391061
2023-09-27 20:36:24 CST, 172.16.1.101:44268, ltptest, OpMetaDeleteDentry, dir.mdtest.0.324, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/mdtest_tree.7/mdtest_tree.32/dir.mdtest.0.324, nil, 0 us, 0, 8391061
2023-09-27 20:36:24 CST, 172.16.1.101:44250, ltptest, OpMetaDeleteDentry, dir.mdtest.0.325, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/mdtest_tree.7/mdtest_tree.32/dir.mdtest.0.325, nil, 0 us, 0, 8391061
